Ion [m/z],Intensity [counts]
Scan 1234
31.0,2386.0
32.0,3974.0
37.0,1774.0
38.0,6718.0
39.0,41960.0
40.0,8732.0
41.1,16728.0
42.1,2383.0
43.0,9621.0
44.0,6302.0
45.0,1958.0
45.7,1108.0
46.9,227.0
49.0,1013.0
50.0,17688.0
51.0,48064.0
52.1,19744.0
53.0,26864.0
54.0,3272.0
55.0,67496.0
56.0,2537.0
57.0,1354.0
57.8,246.0
59.1,1097.0
59.9,1234.0
61.0,3241.0
62.0,9296.0
63.0,25136.0
64.0,7718.0
65.0,46272.0
66.1,21920.0
67.0,6864.0
68.0,2187.0
69.0,2917.0
69.9,183.0
71.0,662.0
73.0,1135.0
74.0,6169.0
75.0,6498.0
76.0,5791.0
77.0,128200.0
78.0,35696.0
79.0,30768.0
80.1,3486.0
81.0,10345.0
82.0,1212.0
82.8,356.0
83.9,155.0
85.0,732.0
86.0,1410.0
87.0,1821.0
88.0,663.0
89.0,12001.0
90.0,3817.0
91.0,108400.0
92.0,13312.0
93.1,19272.0
94.0,32688.0
95.0,5070.0
95.9,824.0
96.9,240.0
98.0,691.0
98.9,339.0
101.1,1902.0
102.0,11548.0
103.0,122904.0
104.0,74264.0
105.0,35464.0
106.0,4634.0
107.0,14848.0
108.0,3695.0
109.0,4899.0
110.1,1024.0
111.0,187.0
113.1,326.0
113.8,391.0
115.1,12185.0
116.0,2907.0
117.1,3380.0
118.0,3065.0
119.0,8098.0
120.1,4802.0
121.0,62664.0
122.0,30720.0
123.1,4333.0
124.0,1424.0
127.0,174.0
128.0,279.0
129.1,463.0
129.9,1399.0
131.0,102704.0
132.0,29400.0
133.0,68544.0
134.1,7915.0
135.1,7210.0
136.0,1232.0
137.0,69848.0
138.1,6723.0
139.0,715.0
145.1,1052.0
145.9,723.0
147.1,17344.0
149.1,118864.0
150.0,12482.0
151.0,1238.0
161.0,519.0
162.2,873.0
163.0,14610.0
164.1,366976.0
165.1,39320.0
166.1,3199.0
166.9,232.0

